Date, Close/Last, Volume, Open, High, Low
11/15/2019, $265.76, 25093670, $263.68, $265.78, $263.01
11/14/2019, $262.64, 22395560, $263.75, $264.88, $262.1
11/13/2019, $264.47, 25817590, $261.13, $264.78, $261.07
11/12/2019, $261.96, 21847230, $261.55, $262.79, $260.92
11/11/2019, $262.2, 20507460, $258.3, $262.47, $258.28
11/08/2019, $260.14, 17520500, $258.69, $260.44, $256.85
11/07/2019, $259.43, 23735080, $258.74, $260.35, $258.11
11/06/2019, $257.24, 18966120, $256.77, $257.49, $255.365
11/05/2019, $257.13, 19974430, $257.05, $258.19, $256.32
11/04/2019, $257.5, 25817950, $257.33, $257.845, $255.38
11/01/2019, $255.82, 37781330, $249.54, $255.93, $249.16
10/31/2019, $248.76, 34790520, $247.24, $249.17, $237.26
10/30/2019, $243.26, 31130520, $244.76, $245.3, $241.21
10/29/2019, $243.29, 35709870, $248.97, $249.75, $242.57
10/28/2019, $249.05, 24143240, $247.42, $249.25, $246.72
10/25/2019, $246.58, 18369300, $243.16, $246.73, $242.88
10/24/2019, $243.58, 17916260, $244.51, $244.8, $241.805
10/23/2019, $243.18, 19932550, $242.1, $243.24, $241.22
10/22/2019, $239.96, 22684000, $241.16, $242.2, $239.6218
10/21/2019, $240.51, 22367480, $237.52, $240.99, $237.32
10/18/2019, $236.41, 24377170, $234.59, $237.58, $234.29
10/17/2019, $235.28, 17272900, $235.09, $236.15, $233.52
