Date, Close/Last, Volume, Open, High, Low
11/15/2019, $38.56, 63020870, $38.94, $39.37, $38.34
11/14/2019, $38.35, 65936950, $37.51, $38.5, $37.36
11/13/2019, $37.52, 69178090, $36.65, $37.96, $36.5779
11/12/2019, $36.71, 58664520, $36.43, $37.13, $36.4
11/11/2019, $36.31, 43572260, $35.96, $36.6648, $35.58
11/08/2019, $36.29, 39396230, $36.06, $36.58, $36
11/07/2019, $36.28, 54350180, $36.52, $36.99, $36.03
11/06/2019, $35.93, 51675120, $36.06, $36.48, $35.52
11/05/2019, $36.15, 84848640, $36.56, $37.18, $35.98
11/04/2019, $36.29, 83343780, $35.19, $36.45, $34.76
11/01/2019, $34.89, 64238610, $34.37, $35, $34.1
10/31/2019, $33.93, 67881620, $32.98, $34.34, $32.82
10/30/2019, $33.13, 78228770, $32.93, $33.34, $32.035
10/29/2019, $33.03, 78700080, $33.73, $33.9, $32.7
10/28/2019, $33.69, 51223610, $33.16, $33.9103, $33.15
10/25/2019, $32.71, 45368840, $31.9, $32.86, $31.83
10/24/2019, $31.72, 28448980, $31.58, $31.86, $31.34
10/23/2019, $31.36, 26858110, $31.09, $31.65, $30.83
10/22/2019, $31.51, 36860310, $32.06, $32.15, $31.5
10/21/2019, $32.03, 52648070, $31.5, $32.26, $31.41
10/18/2019, $30.97, 39711240, $31.06, $31.33, $30.29
10/17/2019, $31.14, 37010210, $31.3, $31.4, $30.86
