Date, Close/Last, Volume, Open, High, Low
11/15/2019, $1739.49, 3931141, $1760.05, $1761.68, $1732.86
11/14/2019, $1754.6, 2269417, $1751.43, $1766.5931, $1749.56
11/13/2019, $1753.11, 2926892, $1773.39, $1775, $1747.3216
11/12/2019, $1778, 2038925, $1774.66, $1786.22, $1771.91
11/11/2019, $1771.65, 1947810, $1778, $1780, $1767.13
11/08/2019, $1785.88, 2126198, $1787.89, $1789.88, $1774.04
11/07/2019, $1788.2, 2651086, $1803.76, $1805.9, $1783.48
11/06/2019, $1795.77, 2029783, $1801, $1802.5, $1788.58
11/05/2019, $1801.71, 1885543, $1809.16, $1810.25, $1794
11/04/2019, $1804.66, 2771922, $1801.01, $1815.06, $1801.01
11/01/2019, $1791.44, 2790354, $1788.01, $1797.445, $1785.21
10/31/2019, $1776.66, 2781185, $1775.99, $1792, $1771.4753
10/30/2019, $1779.99, 2449405, $1760.24, $1782.38, $1759.115
10/29/2019, $1762.71, 2276855, $1774.81, $1777, $1755.81
10/28/2019, $1777.08, 3708851, $1748.06, $1778.7, $1742.5
10/25/2019, $1761.33, 9626402, $1697.55, $1764.21, $1695
10/24/2019, $1780.78, 5204350, $1771.09, $1788.3379, $1760.27
10/23/2019, $1762.17, 2190380, $1761.3, $1770.05, $1742
10/22/2019, $1765.73, 2234425, $1788.15, $1789.7799, $1762
10/21/2019, $1785.66, 2224902, $1769.66, $1785.88, $1765
10/18/2019, $1757.51, 3366091, $1787.8, $1793.98, $1749.2001
10/17/2019, $1787.48, 2713773, $1796.49, $1798.85, $1782.02
