Date, Close/Last, Volume, Open, High, Low
11/15/2019, $45.09, 32387640, $45.07, $45.65, $44.81
11/14/2019, $44.91, 65609860, $45.56, $46, $44.6
11/13/2019, $48.46, 27250240, $48.24, $48.85, $48.15
11/12/2019, $48.37, 15641770, $48.29, $48.74, $48.12
11/11/2019, $48.1, 19595430, $48.01, $48.47, $47.56
11/08/2019, $48.83, 14414060, $48.42, $48.85, $48.05
11/07/2019, $48.42, 16717750, $48.61, $48.98, $48.2
11/06/2019, $48.27, 15904470, $47.81, $48.5, $47.785
11/05/2019, $47.76, 18988940, $47.59, $47.92, $47.26
11/04/2019, $47.48, 15018910, $47.5, $47.875, $47.32
11/01/2019, $47.03, 24404130, $46.85, $47.485, $46.64
10/31/2019, $47.51, 12488290, $47.6, $47.65, $47.1
10/30/2019, $47.56, 12062030, $47.3, $47.58, $47.16
10/29/2019, $47.24, 13713940, $47, $47.4261, $46.91
10/28/2019, $47.17, 13859730, $47.15, $47.6, $47.06
10/25/2019, $46.9, 15701150, $46.54, $46.99, $46.46
10/24/2019, $46.41, 18456390, $47.23, $47.23, $46.1
10/23/2019, $47.05, 15680880, $47.47, $47.7, $46.84
10/22/2019, $47.55, 15203850, $47.5, $47.885, $47.4
10/21/2019, $47.39, 14455710, $47.14, $47.48, $46.97
10/18/2019, $46.71, 17227400, $47.1, $47.27, $46.66
10/17/2019, $47.03, 14386300, $47.15, $47.3, $46.6
