Date, Close/Last, Volume, Open, High, Low
11/15/2019, $195.1, 11530230, $194.26, $195.3, $193.38
11/14/2019, $193.15, 9059897, $192.93, $194.03, $191.45
11/13/2019, $193.19, 11009800, $194.7, $195.7, $192.74
11/12/2019, $194.47, 17615450, $190, $195.06, $189.74
11/11/2019, $189.61, 8637768, $189.93, $190.08, $188.54
11/08/2019, $190.84, 10764780, $190, $192.34, $189.7
11/07/2019, $190.42, 13473000, $191.91, $193.44, $189.47
11/06/2019, $191.55, 10973020, $194.03, $194.37, $191.35
11/05/2019, $194.32, 9941954, $195.37, $195.75, $193.6
11/04/2019, $194.72, 16371290, $194.55, $197.3672, $193.8119
11/01/2019, $193.62, 21711830, $192.85, $194.11, $189.91
10/31/2019, $191.65, 42286530, $196.7, $198.09, $188.25
10/30/2019, $188.25, 28734560, $189.56, $190.45, $185.98
10/29/2019, $189.31, 13574870, $191.69, $192.53, $188.47
10/28/2019, $189.4, 13657870, $187.2, $189.53, $185.08
10/25/2019, $187.89, 8061240, $185.83, $189, $185.0876
10/24/2019, $186.38, 11505410, $184.62, $186.73, $182.8
10/23/2019, $186.15, 12370820, $182.01, $186.38, $182
10/22/2019, $182.34, 19854190, $190, $190.65, $181.5
10/21/2019, $189.76, 8580744, $187.04, $189.91, $186.75
10/18/2019, $185.85, 16882860, $190.23, $191.49, $183.9239
10/17/2019, $190.39, 9761548, $190.3, $190.84, $188.765
