Date, Close/Last, Volume, Open, High, Low
11/15/2019, $149.97, 23508810, $148.93, $149.99, $148.27
11/14/2019, $148.06, 19755100, $147.02, $148.41, $147
11/13/2019, $147.31, 17444230, $146.74, $147.4625, $146.28
11/12/2019, $147.07, 18648710, $146.28, $147.57, $146.06
11/11/2019, $146.11, 14370180, $145.34, $146.42, $144.73
11/08/2019, $145.96, 16752940, $143.98, $145.99, $143.76
11/07/2019, $144.26, 17786720, $143.84, $144.88, $143.77
11/06/2019, $144.06, 16575800, $144.37, $144.52, $143.2
11/05/2019, $144.46, 18250170, $144.97, $145.02, $143.905
11/04/2019, $144.55, 16912000, $144.83, $145, $144.16
11/01/2019, $143.72, 33128370, $144.26, $144.42, $142.965
10/31/2019, $143.37, 24605140, $144.9, $144.93, $142.99
10/30/2019, $144.61, 18496590, $143.52, $145, $142.79
10/29/2019, $142.83, 20589470, $144.08, $144.5, $142.65
10/28/2019, $144.19, 35280140, $144.4, $145.67, $143.51
10/25/2019, $140.73, 25959720, $139.34, $141.14, $139.2
10/24/2019, $139.94, 37278400, $139.39, $140.42, $138.67
10/23/2019, $137.24, 31380310, $136.88, $137.45, $135.61
10/22/2019, $136.37, 27935270, $138.97, $140.01, $136.26
10/21/2019, $138.43, 20716040, $138.45, $138.5, $137.01
10/18/2019, $137.41, 32284430, $139.76, $140, $136.56
10/17/2019, $139.69, 22102800, $140.95, $141.42, $139.02
