Date, Close/Last, Volume, Open, High, Low
11/15/2019, $90.81, 25491090, $92.6, $93.94, $90.5801
11/14/2019, $90.48, 8794397, $90.31, $90.58, $89.43
11/13/2019, $90.47, 9519644, $90.7, $91.9, $89.62
11/12/2019, $90.97, 9335820, $92.18, $92.25, $90.17
11/11/2019, $91.84, 11301320, $91.71, $92.5244, $90.89
11/08/2019, $94.03, 16375240, $89.98, $94.11, $89.6
11/07/2019, $89.98, 30254020, $89.83, $92.5, $88.32
11/06/2019, $84.63, 9755311, $85.34, $85.605, $84.2242
11/05/2019, $85.46, 7280027, $85.2, $85.74, $84.73
11/04/2019, $85.09, 8389196, $84.54, $85.87, $84.3082
11/01/2019, $83.58, 8620326, $81.59, $83.65, $81.25
10/31/2019, $80.44, 5693660, $81.44, $81.47, $79.84
10/30/2019, $81.44, 3970995, $82.1, $82.2482, $80.85
10/29/2019, $81.66, 4993553, $82.75, $82.85, $81.44
10/28/2019, $83.05, 9949753, $80.55, $83.13, $80.54
10/25/2019, $80.17, 6712346, $79, $80.23, $78.91
10/24/2019, $78.99, 5422321, $78.06, $79.02, $77.59
10/23/2019, $77.24, 5937606, $77.21, $78.13, $76.87
10/22/2019, $78.47, 5107829, $78.93, $79.07, $78.2405
10/21/2019, $78.98, 5307232, $78.38, $79.09, $78.01
10/18/2019, $77.68, 6110981, $78.62, $79.22, $77.6725
10/17/2019, $78.97, 5923920, $78.7, $79.96, $78.4
