Date, Close/Last, Volume, Open, High, Low
11/15/2019, $84.21, 7537205, $84.68, $84.94, $83.57
11/14/2019, $84.38, 5287433, $84.1, $84.52, $83.8
11/13/2019, $83.94, 7439003, $83.29, $84.29, $83.2
11/12/2019, $83.32, 8552693, $82.69, $83.976, $82.605
11/11/2019, $82.43, 5832575, $81.75, $82.5312, $81.37
11/08/2019, $81.77, 7088064, $82.19, $82.64, $81.45
11/07/2019, $81.95, 7221382, $83.06, $83.29, $81.84
11/06/2019, $82.99, 6365267, $82.08, $83.37, $82
11/05/2019, $81.89, 7054400, $82.34, $82.34, $81.0301
11/04/2019, $82.37, 8271187, $83.3, $83.435, $81.9
11/01/2019, $83.21, 10658470, $84.79, $85.31, $82.61
10/31/2019, $84.56, 14008810, $86.71, $87.22, $83.28
10/30/2019, $84.19, 8731291, $84.61, $84.7, $83.32
10/29/2019, $84.13, 5699093, $83.81, $84.63, $83.64
10/28/2019, $83.6, 6653357, $84.47, $84.98, $83.36
10/25/2019, $83.38, 5235296, $83.21, $83.565, $82.63
10/24/2019, $83.18, 4632619, $82.8, $83.53, $82.6605
10/23/2019, $82.74, 7186615, $84.31, $84.41, $82.1262
10/22/2019, $83.46, 5806608, $85.23, $85.35, $83.39
10/21/2019, $85.35, 5007111, $86, $86.24, $85.0801
10/18/2019, $86.03, 4631218, $86.35, $86.75, $85.52
10/17/2019, $86.29, 4397738, $86.88, $87.02, $86.16
