Date, Close/Last, Volume, Open, High, Low
11/15/2019, $6.28, 9080171, $6.35, $6.35, $6.26
11/14/2019, $6.33, 4907045, $6.3, $6.36, $6.28
11/13/2019, $6.31, 8632013, $6.31, $6.39, $6.3
11/12/2019, $6.34, 14556160, $6.3, $6.39, $6.275
11/11/2019, $6.305, 8784893, $6.24, $6.31, $6.23
11/08/2019, $6.28, 9467393, $6.27, $6.29, $6.18
11/07/2019, $6.23, 12123110, $6.29, $6.34, $6.22
11/06/2019, $6.29, 10194760, $6.27, $6.32, $6.22
11/05/2019, $6.295, 17828900, $6.28, $6.32, $6.2
11/04/2019, $6.25, 14809800, $6.34, $6.34, $6.235
11/01/2019, $6.35, 21310650, $6.21, $6.42, $6.16
10/31/2019, $6.17, 28389690, $6.35, $6.465, $6.04
10/30/2019, $6.21, 22405160, $6.12, $6.23, $6.07
10/29/2019, $6.07, 19525690, $6.16, $6.17, $6.052
10/28/2019, $6.16, 14500980, $6.15, $6.24, $6.07
10/25/2019, $6.16, 16769850, $6.16, $6.2, $6.1
10/24/2019, $6.16, 15552470, $6.11, $6.16, $6.07
10/23/2019, $6.08, 13013750, $6.1, $6.22, $6.03
10/22/2019, $6.13, 15608930, $6.28, $6.3, $6.125
10/21/2019, $6.29, 17449280, $6.25, $6.35, $6.21
10/18/2019, $6.23, 20229890, $6.24, $6.275, $6.12
10/17/2019, $6.24, 14739500, $6.23, $6.31, $6.175
