mz,intensity
260.01,0
260.019,0
260.029,0
260.07,0
260.079,0
260.089,0
260.11,0
260.14,0
260.149,0
260.17,0
260.209,0
260.219,0
260.25,0
260.26,0
260.269,0
260.31,0
260.32,0
260.349,0
260.358,0
260.37,0
260.409,0
260.418,0
260.44,0
260.45,0
260.478,0
260.49,0
260.519,0
260.539,0
260.57,0
260.579,0
260.599,0
260.63,0
260.64,0
260.67,0
260.69,0
260.709,0
260.73,0
260.75,0
260.769,0
260.779,0
260.789,0
260.81,0
260.829,0
260.87,0
260.88,0
260.89,0
260.918,0
260.93,0
260.95,0
260.978,0
261.01,0
261.019,0
261.029,0
261.07,0
261.079,0
261.089,0
261.11,0
261.14,0
261.149,0
261.17,0
261.19,0
261.209,0
261.24,0
261.25,0
261.269,0
261.289,0
261.329,0
261.339,0
261.37,0
261.38,0
261.409,0
261.418,0
261.43,0
261.45,0
261.478,0
261.51,0
261.519,0
261.55,0
261.57,0
261.579,0
261.599,0
261.63,0
261.649,0
261.67,0
261.68,0
261.709,0
261.719,0
261.74,0
261.769,0
261.789,0
261.798,0
261.81,0
261.849,0
261.87,0
261.88,0
261.89,0
261.93,0
261.94,0
261.95,0
261.99,0
262.01,0
262.019,0
262.05,0
262.06,0
262.089,0
262.099,0
262.11,0
262.13,0
262.15,0
262.17,0
262.19,0
262.21,0
262.25,0
262.26,0
262.289,0
262.31,0
262.32,0
262.33,0
262.37,0
262.38,0
262.409,0
262.43,0
262.45,0
262.46,0
262.479,0
262.5,0
262.51,0
262.55,0
262.56,0
262.59,0
262.61,0
262.63,0
262.64,0
262.65,0
262.69,0
262.7,0
262.73,0
262.75,0
262.77,0
262.78,0
262.789,0
262.81,0
262.83,0
262.87,0
262.88,0
262.89,0
262.919,0
262.95,0
262.96,0
262.99,0
263.01,0
263.02,0
263.05,0
263.07,0
263.09,0
263.099,0
263.11,0
263.13,0
263.159,0
263.17,0
263.2,0
263.23,0
263.24,0
263.25,0
263.289,0
263.299,0
263.32,0
263.349,0
263.359,0
263.37,0
263.409,0
263.419,0
263.44,0
263.46,0
263.479,0
263.51,0
263.52,0
263.53,0
263.56,0
263.57,0
263.61,0
263.63,0
263.64,0
263.659,0
263.69,0
263.7,0
263.73,0
263.75,0
263.76,0
263.77,0
263.799,0
263.81,0
263.849,0
263.87,0
263.88,0
263.909,0
263.93,0
263.94,0
263.95,0
263.99,0
264,0
264.03,0
264.05,0
264.07,0
264.08,0
264.09,0
264.11,0
264.13,0
264.159,0
264.17,0
264.19,0
264.23,0
264.24,0
264.27,0
264.28,0
264.31,0
264.32,0
264.34,0
264.37,0
264.38,0
264.409,0
264.419,0
264.43,0
264.469,0
264.479,0
264.49,0
264.52,0
264.55,0
264.56,0
264.57,0
264.61,0
264.62,0
264.65,0
264.659,0
264.67,0
264.69,0
264.73,0
264.74,0
264.77,0
264.78,0
264.789,0
264.81,0
264.83,0
264.87,0
264.88,0
264.909,0
264.93,0
264.94,0
264.96,0
264.969,0
265.01,0
265.03,0
265.05,0
265.07,1.83380142078308
265.08,0
265.09,0
265.11,0
265.15,0
265.159,0
265.17,0
265.21,0
265.219,0
265.25,0
265.26,0
265.27,0
265.31,0
265.32,0
265.34,0
265.37,0
265.39,0
265.4,0
265.43,0
265.44,0
265.469,0
265.479,0
265.51,0
265.52,0
265.53,0
265.57,0
265.58,0
265.59,0
265.63,0
265.64,0
265.65,0
265.69,0
265.71,0
265.719,0
265.75,0
265.76,0
265.789,0
265.799,0
265.81,0
265.849,0
265.859,0
265.87,0
265.89,0
265.93,0
265.94,0
265.95,0
